,State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
24,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,4,0,0,4,1,8,2,4,1,5,5,11,7,7,6,0,8,8,8,17,10,13,9,17,19,20,21,23,28,14,15,18,24,27,24,24,9,27,31,23,26,24,20,13,23,24,25,19,17,21,9,17,29,32,32,10,17,13,18,33,35,29,31,14,10,22,14,29,33,21,16,11,21,19,13,25,9,15,6,9,12,18,20,11,8,4,9,4,9,5,6,8,10,6,4,13,8,0,5
25,MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,3,0,1,1,2,1,1,4,1,0,4,10,5,12,6,21,19,12,1,0,24,14,5,12,11,1,1,12,18,11,44,11,1,14,26,4,11,8,14,1,6,18,20,21,32,23,10,5,35,18,20,15,13,6,11,11,14,31,10,5,5,4,1,9,11,30,34,1,0,11,4,2,10,9,0,12,20,8,13,10,7,0,2,2,26,37,3,8,1,5,5,9,7,8,6,0,2,16,3,-4,0,0,0
26,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,8,1,3,3,4,3,6,8,8,8,8,9,6,11,3,0,15,11,7,11,12,7,11,14,9,8,9,11,6,3,10,10,11,20,11,12,7,32,32,22,11,12,10,5,22,8,15,13,18,11,7,26,16,10,16,20,9,10,17,18,23,17,13,11,5,28,15,12,9,8,6,20,10,21,0,13,8,2,4,20,23,0,0,0,0,38,13,22,5,6,13,4,20,14,9,10,11,4,5
27,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
28,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,2,2,6,3,5,7,2,12,7,11,10,6,1,0,27,8,15,21,12,7,8,33,29,12,16,20,10,7,35,13,24,21,21,2,7,22,25,30,20,17,3,3,26,20,16,26,11,7,2,30,11,14,11,9,7,10,12,29,0,65,21,0,21,23,18,18,7,25,3,11,23,17,17,28,13,5,9,34,14,8,22,15,8,3,27,20,19,2,26,4,3,16,27,17,10,7,1
29,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,0,0,1,3,0,1,1,0,1,1,2,0,0,0,4,1,1,0,0,6,0,2,1,1,1,2,2,0,2,0,1,1,1,4,2,1,0,1,1,0,2,1,2,0,0,2,4,1,0,5,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
30,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,3,3,1,0,3,4,5,1,4,3,2,2,4,6,5,4,0,2,4,7,6,4,0,3,0,3,9,1,5,0,1,9,3,5,1,1,1,0,0,3,4,17,4,0,0,4,11,3,5,5,0,0,5,7,1,3,6,1,0,2,5,2,6,2,0,0
31,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,2,2,0,0,4,5,3,1,1,0,0,4,5,2,3,1,3,1,0,6,3,2,7,0,0,0,6,6,9,3,2,0,6,19,3,7,10,2,0,9,8,1,8,12,1,0,10,8,9,5,4,1,1,4,9,9,5,5,3,0,11,9,8,5,5,3,0,8,7,7,7,3,2,0,6,4,1,6,2,0,0,4,4,10,8,2,0,0,4,2,2,1,0,5
32,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,2,5,6,4,17,0,19,31,48,0,2,67,147,178,108,191,72,84,239,273,196,234,251,167,0,455,351,361,322,231,134,174,377,0,0,864,246,75,106,397,329,458,310,204,128,40,334,305,252,150,164,140,55,198,194,244,192,111,107,79,151,161,96,142,95,50,13,48,148,62,130,102,63,25,49,110,90,78,57,68,41,89,74,65,47,98,37,49,49,41,33,38,22,14,24,54,45,25,42,1887,26,17,45,43,29,57,25,22
33,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,3,1,1,0,1,3,1,2,1,6,0,5,0,13,7,2,2,3,0,13,7,6,9,6,0,6,7,11,8,7,12,0,12,7,3,9,10,9,8,11,12,11,11,0,0,17,6,7,11,8,0,0,18,5,4,6,9,7,5,6,5,0,16,4,5,3,4,4,6,11,0,11,4,5,7,5,0,12,2,3,0,7,4,5,4,2,1,1,4,3,3,8,2,0
34,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,0,4,0,4,1,3,8,6,6,5,3,0,0,13,13,10,4,0,0,0,0,0,52,4,10,6,1,4,11,16,8,2,6,1,12,12,6,0,16,4,0,5,19,8,8,5,4,0,8,11,7,12,2,3,0,12,0,0,19,10,2,2,0,3,8,3,4,1,3,1,3,9,3,5,1,4,3,2,12,2,1,1,1,2,6,3,3,7,2,3,2,2,1,3,2,0,4,3,4,13,4,2,4
35,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,8,5,20,0,31,26,69,111,123,138,149,298,178,276,313,482,434,597,829,1054,798,1010,992,953,1445,623,1032,517,1426,736,706,561,232,1448,609,836,689,547,489,607,399,364,428,402,337,341,229,543,253,288,878,303,203,262,167,176,259,165,163,141,168,172,144,141,102,157,104,96,146,91,102,96,96,94,40,77,110,79,69,91,53,69,45,55,69,66,53,78,62,43,32,46,38,33,87,23,50,43,50,19,27,46,30,32,0,639,15,23,21,20,40
36,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,2,5,4,6,4,10,16,10,16,9,12,17,23,25,24,21,19,16,6,0,70,38,28,29,33,20,38,47,51,45,37,20,17,27,46,135,41,27,19,17,18,76,92,47,33,27,10,16,79,46,52,46,30,15,32,63,60,54,37,80,15,18,15,41,56,33,17,5,52,53,41,39,18,16,7,26,18,36,33,18,46,3,16,23,15,22,34,30,3,4,30,20,17,16,16,3,11,45,14,0,27,4,4
37,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,0,8,1,1,6,6,5,4,4,4,5,16,12,1,8,6,2,0,12,15,8,0,0,0,0,33,6,9,0,15,1,2,10,7,8,8,8,0,0,9,6,7,6,4,1,2,5,0,6,1,3,0,0,6,5,5,3,4,0,2,5,4,3,3,5,0,0,6,2,3,1,2,1,0,5,2,2,2,0,0,0,4,1,2,1,1,1,0,2,1,3,2,7,1,0,2,2,6,3,0,0
38,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,5,1,1,1,0,3,2,1,2,1,4,1,2,4,5,6,4,3,1,0,3,3,6,6,2,2,1,3,0,5,3,1,4,1,7,2,2,1,5,0,0,4,2,6,3,3,0,3,0,4,3,0,0,0,1,2,4,1,2,0,1,0,0,0,3,0,2,0,1,3,2,0,2,0,2,1,5,0,2,2,1,2,4,2,1,4,1,1,1,2,0,3,2,4,1,0,2,3,1,1,0,4,0
39,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,4,5,6,12,4,10,15,11,16,12,34,14,12,78,69,29,77,76,16,0,77,63,0,109,80,276,92,185,24,8,70,45,13,47,119,477,98,62,65,24,13,547,93,301,191,83,18,23,75,132,203,50,33,3,287,130,142,103,116,112,28,15,13,113,108,91,72,0,0,130,75,75,69,45,12,10,61,48,51,49,49,4,29,33,43,42,38,20,4,3,38,54,38,23,23,3,9,35,36,27,34,3,4
40,RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,94,0,0,0,31,0,0,0,0,0,0,99,0,0,8,0,0,0,0,0,0,58,0,0,0,0,0,70,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,83,40,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
41,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,0,2,0,4,3,2,4,3,6,3,6,4,4,3,12,4,5,0,10,0,13,9,5,7,3,1,4,11,5,10,8,8,0,11,15,40,12,12,11,8,7,13,9,11,4,10,1,13,9,9,9,9,1,5,6,8,8,9,3,6,10,5,6,20,4,13,0,11,6,1,17,7,13,7,1,11,11,7,12,5,6,1,2,5,11,3,18,5,9,5,16,10,8,1,15,5,5,18,24,18,10,19,8
42,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,1,0,0,2,4,4,0,0,0,3,5,2,0,3,0,0,5,0,4,1,0,0,0,0,2,2,2,0,0,0,0,4,0,5,1,0,2,0,0,2,1,0,0,0,3,1,4,1,1,0,0,2,1,0,3,0,0,0,2,1,3,1,3,0,0,0,2,0,4,0,0
43,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,6,3,10,7,6,6,2,19,6,10,14,4,3,0,8,15,10,6,2,3,3,4,5,9,3,0,8,3,2,0,10,7,5,5,1,5,7,11,0,4,1,1,7,14,9,14,3,5,3,3,4,5,4,2,14,7,2,4,10,3,4,5,0,3,12,7,13,9,9,1,3,12,2,5,25,4,2,8,10,5,11,6,9,2,5,11,14,10,10,9,0,8,12,4,10,13,4,9
44,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,4,1,5,6,2,7,5,4,11,14,13,13,17,20,14,14,23,21,27,28,17,0,47,46,29,35,25,24,18,21,27,17,32,30,24,16,27,42,50,34,31,20,17,23,40,26,31,45,39,11,33,26,58,56,33,30,10,22,49,22,41,25,13,8,8,25,40,26,22,24,6,20,36,33,21,29,12,6,21,32,35,17,18,19,7,47,33,43,34,23,16,10,27,28,47,32,42,27,10,21,60,44,50,33,29
45,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,5,0,0,0,4,1,0,0,1,1,2,2,2,3,0,4,2,1,0,6,0,0,4,0,1,0,3,1,0,5,2,3,0,7,0,0,5,2,0,0,3,2,0,0,9,2,0,4,0,2,3,3,2,2,0,0,4,0,4,0,4,0,1,3,2,1,4,7,0,0,4,2,4,2,3,0,2,0,5,0,1,2,0,0,1,4,1,3,5,0,2
46,VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,0,3,4,1,3,5,3,2,7,7,4,4,2,3,9,11,34,11,10,10,8,6,42,13,22,27,19,22,24,26,24,64,0,0,23,33,29,31,29,36,44,24,29,0,56,42,16,12,10,40,37,27,23,25,7,5,27,33,24,35,25,12,34,25,46,55,22,12,5,15,16,19,16,10,7,11,6,17,19,9,13,8,4,5,19,11,7,17,5,4,9,22,17,16,26,24,8,8,24,24,29,28,6,5
47,VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,13,0,0,0,1,2,1,1,1,5,0,2,0,1,2,0,3,1,2,0,1,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,3,1,2,3,3,4,1,5,2,6,3,2,6,4,14,8,9,10,1,15,13,6,14,25,17,10,23,4,30,13,23,22,29,34,22,26,26,28,17,17,0,33,26,16,20,21,10,18,29,11,18,12,15,12,15,21,15,13,9,7,4,7,21,8,21,14,16,10,14,17,12,9,8,8,2,1,29,6,8,6,0,11,9,8,17,11,5,7,0,5,6,6,3,11,4,4,4,15,13,5,9,9,4,2,5,1,19,10,10,5,6,9,9,7,5,6,0,10,12,7,3,10,2,5
49,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,2,4,1,0,1,2,8,7,6,19,12,9,15,7,12,17,9,7,0,25,12,16,8,6,9,10,12,4,11,5,4,6,9,19,8,8,10,8,5,1,13,9,12,10,14,2,9,9,3,13,11,7,0,6,9,14,6,9,11,3,3,3,23,11,18,20,4,3,12,9,10,7,12,1,0,15,9,11,7,3,1,2,8,10,7,10,14,0,1,5,8,8,1,11,0,0,7,2,7,3,0,0
50,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,2,1,1,2,1,3,2,2,6,0,3,2,0,2,1,3,1,2,4,2,3,0,0,0,1,0,1,1,1,3,1,1,3,2,1,2,1,0,1,2,1,0,0,0,2,0,0,0,0,0,2,2,1,1,5,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,1,1
51,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0