,State,region
1,AK,Pacific
2,AL,South
3,AR,South
4,AZ,Mountain States
5,CA,Pacific
6,CO,Mountain States
7,CT,New England
8,DC,Middle Atlantic
9,DE,Middle Atlantic
10,FL,South
11,GA,South
12,HI,Pacific
13,IA,West North Central
14,ID,Mountain States
15,IL,East North Central
16,IN,East North Central
17,KS,West North Central
18,KY,Border States
19,LA,South
20,MA,New England
21,MD,Border States
22,ME,New England
23,MI,East North Central
24,MN,West North Central
25,MO,West North Central
26,MS,South
27,MT,Mountain States
28,NC,South
29,ND,West North Central
30,NE,West North Central
31,NH,New England
32,NJ,Middle Atlantic
33,NM,Mountain States
34,NV,Mountain States
35,NY,Middle Atlantic
36,OH,East North Central
37,OK,Border States
38,OR,Pacific
39,PA,Middle Atlantic
40,RI,New England
41,SC,South
42,SD,West North Central
43,TN,Border States
44,TX,South
45,UT,Mountain States
46,VA,South
47,VT,New England
48,WA,Pacific
49,WI,East North Central
50,WV,Border States
51,WY,Mountain States